t_sec,pid,parent,name,ws_mb,pb_mb
360.1,32716,36468,msedgewebview2.exe,13.8,2.9
360.1,36700,36468,msedgewebview2.exe,92.8,141.7
360.1,15636,36468,msedgewebview2.exe,40.2,12.7
360.1,24752,36468,msedgewebview2.exe,21.8,8.9
360.1,27248,36468,msedgewebview2.exe,108.8,55.2
370.4,6888,27996,audio_server.exe,67,47.1
370.4,19212,28280,audio-desktop.exe,36.5,7.2
370.4,36468,19212,msedgewebview2.exe,141.2,46.5
370.4,35368,19212,audio_server.exe,39.8,22.6
370.4,32716,36468,msedgewebview2.exe,13.8,2.9
370.4,36700,36468,msedgewebview2.exe,92.8,141.7
370.4,15636,36468,msedgewebview2.exe,40.2,12.7
370.4,24752,36468,msedgewebview2.exe,21.8,8.9
370.4,27248,36468,msedgewebview2.exe,108.8,55.2
380.6,6888,27996,audio_server.exe,67,47.1
380.6,19212,28280,audio-desktop.exe,36.5,7.2
380.6,36468,19212,msedgewebview2.exe,141.2,46.5
380.6,35368,19212,audio_server.exe,39.8,22.6
380.6,32716,36468,msedgewebview2.exe,13.8,2.9
380.6,36700,36468,msedgewebview2.exe,92.8,141.7
380.6,15636,36468,msedgewebview2.exe,40.2,12.7
380.6,24752,36468,msedgewebview2.exe,21.8,8.9
380.6,27248,36468,msedgewebview2.exe,108.8,55.2
390.9,6888,27996,audio_server.exe,67,47.1
390.9,19212,28280,audio-desktop.exe,36.5,7.2
390.9,36468,19212,msedgewebview2.exe,141.2,46.5
390.9,35368,19212,audio_server.exe,39.8,22.6
390.9,32716,36468,msedgewebview2.exe,13.8,2.9
390.9,36700,36468,msedgewebview2.exe,92.8,141.7
390.9,15636,36468,msedgewebview2.exe,40.2,12.6
390.9,24752,36468,msedgewebview2.exe,21.8,8.8
390.9,27248,36468,msedgewebview2.exe,108.8,55.2
401.2,6888,27996,audio_server.exe,67,47.1
401.2,19212,28280,audio-desktop.exe,36.5,7.2
401.2,36468,19212,msedgewebview2.exe,141.2,46.5
401.2,35368,19212,audio_server.exe,39.8,22.6
401.2,32716,36468,msedgewebview2.exe,13.8,2.9
401.2,36700,36468,msedgewebview2.exe,92.9,141.7
401.2,15636,36468,msedgewebview2.exe,40.2,12.6
401.2,24752,36468,msedgewebview2.exe,21.8,8.8
401.2,27248,36468,msedgewebview2.exe,108.8,55.2
411.4,6888,27996,audio_server.exe,67,47.1
411.4,19212,28280,audio-desktop.exe,36.5,7.1
411.4,36468,19212,msedgewebview2.exe,141.2,46.4
411.4,35368,19212,audio_server.exe,39.8,22.6
411.4,32716,36468,msedgewebview2.exe,13.8,2.9
411.4,36700,36468,msedgewebview2.exe,93.2,141.7
411.4,15636,36468,msedgewebview2.exe,40.1,12.6
411.4,24752,36468,msedgewebview2.exe,21.8,8.8
411.4,27248,36468,msedgewebview2.exe,108.8,55.2
421.7,6888,27996,audio_server.exe,67,47.1
421.7,19212,28280,audio-desktop.exe,36.5,7.1
421.7,36468,19212,msedgewebview2.exe,141.2,46.4
421.7,35368,19212,audio_server.exe,39.8,22.6
421.7,32716,36468,msedgewebview2.exe,13.8,2.9
421.7,36700,36468,msedgewebview2.exe,93.2,141.7
421.7,15636,36468,msedgewebview2.exe,40.1,12.6
421.7,24752,36468,msedgewebview2.exe,21.8,8.8
421.7,27248,36468,msedgewebview2.exe,108.8,55.2
431.9,6888,27996,audio_server.exe,67,47.1
431.9,19212,28280,audio-desktop.exe,36.5,7.1
431.9,36468,19212,msedgewebview2.exe,141.2,46.4
431.9,35368,19212,audio_server.exe,39.8,22.6
431.9,32716,36468,msedgewebview2.exe,13.8,2.9
431.9,36700,36468,msedgewebview2.exe,93.5,141.7
431.9,15636,36468,msedgewebview2.exe,40.1,12.6
431.9,24752,36468,msedgewebview2.exe,21.8,8.8
431.9,27248,36468,msedgewebview2.exe,108.8,55.2
442.2,6888,27996,audio_server.exe,67,47.1
442.2,19212,28280,audio-desktop.exe,36.5,7.2
442.2,36468,19212,msedgewebview2.exe,141.2,46.4
442.2,35368,19212,audio_server.exe,39.8,22.6
442.2,32716,36468,msedgewebview2.exe,13.8,2.9
442.2,36700,36468,msedgewebview2.exe,93.5,141.7
442.2,15636,36468,msedgewebview2.exe,40.1,12.6
442.2,24752,36468,msedgewebview2.exe,21.8,8.8
442.2,27248,36468,msedgewebview2.exe,108.7,55.2
452.4,6888,27996,audio_server.exe,67,47.1
452.4,19212,28280,audio-desktop.exe,36.5,7.2
452.4,36468,19212,msedgewebview2.exe,141.2,46.4
452.4,35368,19212,audio_server.exe,39.8,22.6
452.4,32716,36468,msedgewebview2.exe,13.8,2.9
452.4,36700,36468,msedgewebview2.exe,93.5,141.7
452.4,15636,36468,msedgewebview2.exe,40.1,12.6
452.4,24752,36468,msedgewebview2.exe,21.8,8.8
452.4,27248,36468,msedgewebview2.exe,108.7,55.2
462.6,6888,27996,audio_server.exe,67,47.1
462.6,19212,28280,audio-desktop.exe,36.5,7.2
462.6,36468,19212,msedgewebview2.exe,141.2,46.4
462.6,35368,19212,audio_server.exe,39.8,22.6
462.6,32716,36468,msedgewebview2.exe,13.8,2.9
462.6,36700,36468,msedgewebview2.exe,93.5,141.7
462.6,15636,36468,msedgewebview2.exe,40.1,12.6
462.6,24752,36468,msedgewebview2.exe,21.8,8.8
462.6,27248,36468,msedgewebview2.exe,108.7,55.2
472.9,6888,27996,audio_server.exe,67,47.1
472.9,19212,28280,audio-desktop.exe,36.5,7.1
472.9,36468,19212,msedgewebview2.exe,141.2,46.5
472.9,35368,19212,audio_server.exe,39.8,22.6
472.9,32716,36468,msedgewebview2.exe,13.8,2.9
472.9,36700,36468,msedgewebview2.exe,93.5,141.7
472.9,15636,36468,msedgewebview2.exe,40.1,12.6
472.9,24752,36468,msedgewebview2.exe,21.8,8.8
472.9,27248,36468,msedgewebview2.exe,107.5,55.2
483.2,6888,27996,audio_server.exe,67,47.1
483.2,19212,28280,audio-desktop.exe,36.5,7.1
483.2,36468,19212,msedgewebview2.exe,141.2,46.5
483.2,35368,19212,audio_server.exe,39.8,22.6
483.2,32716,36468,msedgewebview2.exe,13.8,2.9
483.2,36700,36468,msedgewebview2.exe,93.5,141.7
483.2,15636,36468,msedgewebview2.exe,40.1,12.6
483.2,24752,36468,msedgewebview2.exe,21.8,8.8
483.2,27248,36468,msedgewebview2.exe,107.5,55.2
493.5,6888,27996,audio_server.exe,67,47.1
493.5,19212,28280,audio-desktop.exe,36.5,7.1
493.5,36468,19212,msedgewebview2.exe,141.2,46.5
493.5,35368,19212,audio_server.exe,39.8,22.6
493.5,32716,36468,msedgewebview2.exe,13.8,2.9
493.5,36700,36468,msedgewebview2.exe,93.5,141.7
493.5,15636,36468,msedgewebview2.exe,40.1,12.6
493.5,24752,36468,msedgewebview2.exe,21.8,8.8
493.5,27248,36468,msedgewebview2.exe,107.5,55.2
503.7,6888,27996,audio_server.exe,67,47
503.7,19212,28280,audio-desktop.exe,36.5,7.1
503.7,36468,19212,msedgewebview2.exe,141.2,46.5
503.7,35368,19212,audio_server.exe,39.8,22.6
503.7,32716,36468,msedgewebview2.exe,13.8,2.9
503.7,36700,36468,msedgewebview2.exe,93.5,141.7
503.7,15636,36468,msedgewebview2.exe,40.1,12.6
503.7,24752,36468,msedgewebview2.exe,21.8,8.8
503.7,27248,36468,msedgewebview2.exe,107.5,55.2
513.9,6888,27996,audio_server.exe,67,47
513.9,19212,28280,audio-desktop.exe,36.5,7.1
513.9,36468,19212,msedgewebview2.exe,141.2,46.5
513.9,35368,19212,audio_server.exe,39.8,22.6
513.9,32716,36468,msedgewebview2.exe,13.8,2.9
513.9,36700,36468,msedgewebview2.exe,93.5,141.7
513.9,15636,36468,msedgewebview2.exe,40.1,12.6
513.9,24752,36468,msedgewebview2.exe,21.8,8.8
513.9,27248,36468,msedgewebview2.exe,107.5,55.2
524.2,6888,27996,audio_server.exe,67,47
524.2,19212,28280,audio-desktop.exe,36.5,7.1
524.2,36468,19212,msedgewebview2.exe,141.2,46.5
524.2,35368,19212,audio_server.exe,39.8,22.6
524.2,32716,36468,msedgewebview2.exe,13.8,2.9
524.2,36700,36468,msedgewebview2.exe,94.6,141.7
524.2,15636,36468,msedgewebview2.exe,40.1,12.6
524.2,24752,36468,msedgewebview2.exe,21.8,8.8
524.2,27248,36468,msedgewebview2.exe,107.5,55.2
534.5,6888,27996,audio_server.exe,67,47
534.5,19212,28280,audio-desktop.exe,36.6,7.2
534.5,36468,19212,msedgewebview2.exe,141.2,46.5
534.5,35368,19212,audio_server.exe,39.8,22.6
534.5,32716,36468,msedgewebview2.exe,13.8,3
534.5,36700,36468,msedgewebview2.exe,94.7,141.6
534.5,15636,36468,msedgewebview2.exe,40.1,12.6
534.5,24752,36468,msedgewebview2.exe,21.8,8.8
534.5,27248,36468,msedgewebview2.exe,107.5,55.2
544.7,6888,27996,audio_server.exe,67,47
544.7,19212,28280,audio-desktop.exe,36.5,7.1
544.7,36468,19212,msedgewebview2.exe,141.2,46.5
544.7,35368,19212,audio_server.exe,39.8,22.6
544.7,32716,36468,msedgewebview2.exe,13.8,3
544.7,36700,36468,msedgewebview2.exe,94.8,141.6
544.7,15636,36468,msedgewebview2.exe,40.2,12.7
544.7,24752,36468,msedgewebview2.exe,21.8,8.9
544.7,27248,36468,msedgewebview2.exe,107.5,55.3
555,6888,27996,audio_server.exe,67,47
555,19212,28280,audio-desktop.exe,36.5,7.1
555,36468,19212,msedgewebview2.exe,141.2,46.5
555,35368,19212,audio_server.exe,39.8,22.6
555,32716,36468,msedgewebview2.exe,13.8,3
555,36700,36468,msedgewebview2.exe,94.8,141.6
555,15636,36468,msedgewebview2.exe,40.2,12.7
555,24752,36468,msedgewebview2.exe,21.8,8.9
555,27248,36468,msedgewebview2.exe,107.5,55.3
565.2,6888,27996,audio_server.exe,67,47
565.2,19212,28280,audio-desktop.exe,36.5,7.1
565.2,36468,19212,msedgewebview2.exe,141.2,46.5
565.2,35368,19212,audio_server.exe,39.8,22.6
565.2,32716,36468,msedgewebview2.exe,13.8,3
565.2,36700,36468,msedgewebview2.exe,94.7,141.6
565.2,15636,36468,msedgewebview2.exe,40.2,12.7
565.2,24752,36468,msedgewebview2.exe,21.8,8.9
