t_sec,pid,parent,name,ws_mb,pb_mb
173.9,15880,26348,audio_server.exe,222.4,287
173.9,34040,33052,msedgewebview2.exe,14.2,3
173.9,18344,34040,msedgewebview2.exe,13.5,2.8
173.9,13020,33052,msedgewebview2.exe,103.7,120.8
173.9,34932,33052,msedgewebview2.exe,42.1,12.9
173.9,25792,33052,msedgewebview2.exe,22.6,8.8
173.9,4360,33052,msedgewebview2.exe,221,145.2
179.2,26348,36732,audio-desktop.exe,50.6,14.4
179.2,33052,26348,msedgewebview2.exe,150.3,50.5
179.2,15880,26348,audio_server.exe,222.4,287
179.2,34040,33052,msedgewebview2.exe,14.2,3
179.2,18344,34040,msedgewebview2.exe,13.5,2.8
179.2,13020,33052,msedgewebview2.exe,103.7,120.8
179.2,34932,33052,msedgewebview2.exe,42.1,12.9
179.2,25792,33052,msedgewebview2.exe,22.6,8.8
179.2,4360,33052,msedgewebview2.exe,221,145.2
184.4,26348,36732,audio-desktop.exe,50.6,14.4
184.4,33052,26348,msedgewebview2.exe,150.3,50.5
184.4,15880,26348,audio_server.exe,222.4,287
184.4,34040,33052,msedgewebview2.exe,14.2,3
184.4,18344,34040,msedgewebview2.exe,13.5,2.8
184.4,13020,33052,msedgewebview2.exe,103.7,120.8
184.4,34932,33052,msedgewebview2.exe,42.1,12.9
184.4,25792,33052,msedgewebview2.exe,22.6,8.8
184.4,4360,33052,msedgewebview2.exe,221,145.2
189.7,26348,36732,audio-desktop.exe,50.6,14.4
189.7,33052,26348,msedgewebview2.exe,150.3,50.5
189.7,15880,26348,audio_server.exe,222.4,287
189.7,34040,33052,msedgewebview2.exe,14.2,3
189.7,18344,34040,msedgewebview2.exe,13.5,2.8
189.7,13020,33052,msedgewebview2.exe,103.7,120.8
189.7,34932,33052,msedgewebview2.exe,42.1,12.9
189.7,25792,33052,msedgewebview2.exe,22.6,8.8
189.7,4360,33052,msedgewebview2.exe,221,145.2
194.9,26348,36732,audio-desktop.exe,50.6,14.4
194.9,33052,26348,msedgewebview2.exe,150.2,50.4
194.9,15880,26348,audio_server.exe,222.4,287
194.9,34040,33052,msedgewebview2.exe,14.2,3
194.9,18344,34040,msedgewebview2.exe,13.5,2.8
194.9,13020,33052,msedgewebview2.exe,103.7,120.8
194.9,34932,33052,msedgewebview2.exe,42.1,12.9
194.9,25792,33052,msedgewebview2.exe,22.6,8.8
194.9,4360,33052,msedgewebview2.exe,202.3,145.2
200.2,26348,36732,audio-desktop.exe,50.6,14.4
200.2,33052,26348,msedgewebview2.exe,150.2,50.4
200.2,15880,26348,audio_server.exe,222.4,287
200.2,34040,33052,msedgewebview2.exe,14.2,3
200.2,18344,34040,msedgewebview2.exe,13.5,2.8
200.2,13020,33052,msedgewebview2.exe,103.7,120.8
200.2,34932,33052,msedgewebview2.exe,42.1,12.9
200.2,25792,33052,msedgewebview2.exe,22.6,8.8
200.2,4360,33052,msedgewebview2.exe,202.3,145.2
205.4,26348,36732,audio-desktop.exe,50.6,14.4
205.4,33052,26348,msedgewebview2.exe,150.2,50.4
205.4,15880,26348,audio_server.exe,222.4,287
205.4,34040,33052,msedgewebview2.exe,14.2,3
205.4,18344,34040,msedgewebview2.exe,13.5,2.8
205.4,13020,33052,msedgewebview2.exe,103.7,120.8
205.4,34932,33052,msedgewebview2.exe,42.1,12.9
205.4,25792,33052,msedgewebview2.exe,22.6,8.8
205.4,4360,33052,msedgewebview2.exe,202.3,145.2
210.7,26348,36732,audio-desktop.exe,50.6,14.4
210.7,33052,26348,msedgewebview2.exe,150.2,50.4
210.7,15880,26348,audio_server.exe,222.4,287
210.7,34040,33052,msedgewebview2.exe,14.2,3
210.7,18344,34040,msedgewebview2.exe,13.5,2.8
210.7,13020,33052,msedgewebview2.exe,103.7,120.8
210.7,34932,33052,msedgewebview2.exe,42.1,12.9
210.7,25792,33052,msedgewebview2.exe,22.6,8.8
210.7,4360,33052,msedgewebview2.exe,202.3,145.2
215.9,26348,36732,audio-desktop.exe,50.6,14.4
215.9,33052,26348,msedgewebview2.exe,150.2,50.4
215.9,15880,26348,audio_server.exe,222.4,287
215.9,34040,33052,msedgewebview2.exe,14.2,3
215.9,18344,34040,msedgewebview2.exe,13.5,2.8
215.9,13020,33052,msedgewebview2.exe,103.7,120.8
215.9,34932,33052,msedgewebview2.exe,42.1,12.9
215.9,25792,33052,msedgewebview2.exe,22.6,8.8
215.9,4360,33052,msedgewebview2.exe,202.3,145.2
221.2,26348,36732,audio-desktop.exe,50.6,14.4
221.2,33052,26348,msedgewebview2.exe,150.2,50.4
221.2,15880,26348,audio_server.exe,222.4,287
221.2,34040,33052,msedgewebview2.exe,14.2,3
221.2,18344,34040,msedgewebview2.exe,13.5,2.8
221.2,13020,33052,msedgewebview2.exe,103.7,120.8
221.2,34932,33052,msedgewebview2.exe,42.1,12.9
221.2,25792,33052,msedgewebview2.exe,22.6,8.8
221.2,4360,33052,msedgewebview2.exe,202.3,145.2
226.4,26348,36732,audio-desktop.exe,50.6,14.4
226.4,33052,26348,msedgewebview2.exe,150.2,50.4
226.4,15880,26348,audio_server.exe,222.4,287
226.4,34040,33052,msedgewebview2.exe,14.2,3
226.4,18344,34040,msedgewebview2.exe,13.5,2.8
226.4,13020,33052,msedgewebview2.exe,103.7,120.8
226.4,34932,33052,msedgewebview2.exe,42.1,12.9
226.4,25792,33052,msedgewebview2.exe,22.6,8.8
226.4,4360,33052,msedgewebview2.exe,202.3,145.2
231.6,26348,36732,audio-desktop.exe,50.6,14.4
231.6,33052,26348,msedgewebview2.exe,150.2,50.4
231.6,15880,26348,audio_server.exe,222.4,287
231.6,34040,33052,msedgewebview2.exe,14.2,3
231.6,18344,34040,msedgewebview2.exe,13.5,2.8
231.6,13020,33052,msedgewebview2.exe,103.7,120.8
231.6,34932,33052,msedgewebview2.exe,42.1,12.9
231.6,25792,33052,msedgewebview2.exe,22.6,8.8
231.6,4360,33052,msedgewebview2.exe,202.3,145.2
236.9,26348,36732,audio-desktop.exe,50.6,14.4
236.9,33052,26348,msedgewebview2.exe,150.2,50.4
236.9,15880,26348,audio_server.exe,222.4,287
236.9,34040,33052,msedgewebview2.exe,14.2,3
236.9,18344,34040,msedgewebview2.exe,13.5,2.8
236.9,13020,33052,msedgewebview2.exe,103.7,120.8
236.9,34932,33052,msedgewebview2.exe,42.1,12.9
236.9,25792,33052,msedgewebview2.exe,22.6,8.8
236.9,4360,33052,msedgewebview2.exe,202.3,145.2
242.1,26348,36732,audio-desktop.exe,50.6,14.4
242.1,33052,26348,msedgewebview2.exe,150.2,50.4
242.1,15880,26348,audio_server.exe,222.4,287
242.1,34040,33052,msedgewebview2.exe,14.2,3
242.1,18344,34040,msedgewebview2.exe,13.5,2.8
242.1,13020,33052,msedgewebview2.exe,103.7,120.8
242.1,34932,33052,msedgewebview2.exe,42.1,12.9
242.1,25792,33052,msedgewebview2.exe,22.6,8.8
242.1,4360,33052,msedgewebview2.exe,202.3,145.2
247.4,26348,36732,audio-desktop.exe,50.5,14.3
247.4,33052,26348,msedgewebview2.exe,150.1,50.2
247.4,15880,26348,audio_server.exe,222.4,287
247.4,34040,33052,msedgewebview2.exe,14.2,3
247.4,18344,34040,msedgewebview2.exe,13.5,2.8
247.4,13020,33052,msedgewebview2.exe,103.7,120.8
247.4,34932,33052,msedgewebview2.exe,42.1,12.9
247.4,25792,33052,msedgewebview2.exe,22.6,8.8
247.4,4360,33052,msedgewebview2.exe,202.3,145.2
252.6,26348,36732,audio-desktop.exe,50.5,14.3
252.6,33052,26348,msedgewebview2.exe,150.2,50.3
252.6,15880,26348,audio_server.exe,222.4,287
252.6,34040,33052,msedgewebview2.exe,14.2,3
252.6,18344,34040,msedgewebview2.exe,13.5,2.8
252.6,13020,33052,msedgewebview2.exe,103.7,120.8
252.6,34932,33052,msedgewebview2.exe,42.1,12.9
252.6,25792,33052,msedgewebview2.exe,22.6,8.8
252.6,4360,33052,msedgewebview2.exe,202.3,145.2
257.8,26348,36732,audio-desktop.exe,50.5,14.3
257.8,33052,26348,msedgewebview2.exe,150.2,50.3
257.8,15880,26348,audio_server.exe,222.4,287
257.8,34040,33052,msedgewebview2.exe,14.2,3
257.8,18344,34040,msedgewebview2.exe,13.5,2.8
257.8,13020,33052,msedgewebview2.exe,103.7,120.8
257.8,34932,33052,msedgewebview2.exe,42.1,12.9
257.8,25792,33052,msedgewebview2.exe,22.6,8.8
257.8,4360,33052,msedgewebview2.exe,202.3,145.2
263.1,26348,36732,audio-desktop.exe,50.5,14.3
263.1,33052,26348,msedgewebview2.exe,150.2,50.3
263.1,15880,26348,audio_server.exe,222.4,287
263.1,34040,33052,msedgewebview2.exe,14.2,3
263.1,18344,34040,msedgewebview2.exe,13.5,2.8
263.1,13020,33052,msedgewebview2.exe,103.7,120.8
263.1,34932,33052,msedgewebview2.exe,42.1,12.9
263.1,25792,33052,msedgewebview2.exe,22.6,8.8
263.1,4360,33052,msedgewebview2.exe,202.3,145.2
268.3,26348,36732,audio-desktop.exe,50.5,14.3
268.3,33052,26348,msedgewebview2.exe,150.2,50.3
268.3,15880,26348,audio_server.exe,222.4,287
268.3,34040,33052,msedgewebview2.exe,14.2,3
268.3,18344,34040,msedgewebview2.exe,13.5,2.8
268.3,13020,33052,msedgewebview2.exe,103.7,120.8
268.3,34932,33052,msedgewebview2.exe,42.1,12.9
268.3,25792,33052,msedgewebview2.exe,22.6,8.8
268.3,4360,33052,msedgewebview2.exe,202.3,145.2
273.5,26348,36732,audio-desktop.exe,50.5,14.3
